annee_numero_de_tirage;1er_ou_2eme_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;boule_6;boule_complementaire;combinaison_gagnante_en_ordre_croissant;numero_joker;nombre_de_gagnant_au_rang1;rapport_du_rang1;nombre_de_gagnant_au_rang2;rapport_du_rang2;nombre_de_gagnant_au_rang3;rapport_du_rang3;nombre_de_gagnant_au_rang4;rapport_du_rang4;nombre_de_gagnant_au_rang5;rapport_du_rang5;nombre_de_gagnant_au_rang6;rapport_du_rang6;nombre_de_gagnant_au_rang7;rapport_du_rang7;numero_jokerplus;devise;
2008075;2;ME;20080917;20081117;31;49;9;30;29;26;27;9-26-29-30-31-49;;1;1590246;5;15378,6;260;1021,3;811;42;15265;21;20626;4,2;286761;2,1;8 549 961;eur;
2008075;1;ME;20080917;20081117;26;43;49;40;48;38;47;26-38-40-43-48-49;;2;372009;10;7732,2;273;974,5;1080;44,2;13916;22,1;22981;5;234423;2,5;8 549 961;eur;
2008074;2;SA;20080913;20081113;11;36;34;14;35;42;17;11-14-34-35-36-42;;2;928797;11;8187,3;202;1512,5;796;56;13155;28;21796;5,2;273341;2,6;9 428 334;eur;
2008074;1;SA;20080913;20081113;28;40;8;9;17;47;7;8-9-17-28-40-47;;1;858421;8;11243,2;277;1113,3;1063;42,8;17141;21,4;35495;4,2;324663;2,1;9 428 334;eur;
2008073;2;ME;20080910;20081110;7;24;6;12;2;14;15;2-6-7-12-14-24;;8;207167;24;3356,4;1078;258,3;1810;17,6;38062;8,8;35533;2,6;483476;1,3;9 717 786;eur;
2008073;1;ME;20080910;20081110;38;36;19;5;39;7;48;5-7-19-36-38-39;;1;764012;5;15890;271;1014,5;612;41,6;16419;20,8;19537;4,2;315627;2,1;9 717 786;eur;
2008072;2;SA;20080906;20081106;20;34;49;21;46;43;30;20-21-34-43-46-49;;2;4500000;5;24588,1;303;1414,8;1103;55,2;18792;27,6;28518;5,4;368881;2,7;2 991 939;eur;
2008072;1;SA;20080906;20081106;22;40;12;46;29;10;35;10-12-22-29-40-46;;1;1197362;7;17791,6;390;1107,7;1001;47;22578;23,5;28800;4,6;443609;2,3;2 991 939;eur;
2008071;2;ME;20080903;20081103;29;12;27;4;2;11;25;2-4-11-12-27-29;;1;1583301;14;5509,7;665;402,8;1360;23,8;26764;11,9;30982;3,2;381149;1,6;6 558 336;eur;
2008071;1;ME;20080903;20081103;28;15;26;42;14;43;45;14-15-26-28-42-43;;0;0;2;37085,7;225;1169,3;462;59;11035;29,5;14912;11;235342;5,5;6 558 336;eur;
2008070;2;SA;20080830;20081030;6;32;23;19;47;1;40;1-6-19-23-32-47;;3;588892;14;6117,1;448;664,4;705;37,6;19484;18,8;18899;4,2;330901;2,1;9 498 837;eur;
2008070;1;SA;20080830;20081030;47;21;5;20;37;41;42;5-20-21-37-41-47;;2;411002;5;16925,9;152;1898,4;495;59,6;12163;29,8;15117;5,4;257181;2,7;9 498 837;eur;
2008069;2;ME;20080827;20081027;49;34;21;19;32;4;44;4-19-21-32-34-49;;0;0;5;15236,6;228;1148,4;589;47,2;13722;23,6;17919;4,8;259897;2,4;4 414 466;eur;
2008069;1;ME;20080827;20081027;39;25;8;7;43;40;13;7-8-25-39-40-43;;3;246148;10;7657,2;266;989,8;1009;41,6;14821;20,8;28623;4,2;268809;2,1;4 414 466;eur;
2008068;2;SA;20080823;20081023;12;40;43;8;31;48;41;8-12-31-40-43-48;;1;1763702;2;41252,3;296;996,7;530;45,4;16277;22,7;16600;4,6;301133;2,3;2 213 981;eur;
2008068;1;SA;20080823;20081023;37;39;3;7;26;27;20;3-7-26-27-37-39;;4;207047;5;16981,1;330;897,9;712;37,2;19709;18,6;22902;3,8;355959;1,9;2 213 981;eur;
2008067;2;ME;20080820;20081020;15;17;26;32;12;18;35;12-15-17-18-26-32;;0;0;4;25399,8;387;929,8;1107;37,2;23493;18,6;25911;4;414769;2;0 005 495;eur;
2008067;1;ME;20080820;20081020;5;44;10;41;11;14;31;5-10-11-14-41-44;;0;0;8;13021,1;368;975,8;1169;39,4;21940;19,7;31840;8,4;410644;4,2;0 005 495;eur;
2008066;2;SA;20080816;20081016;5;25;34;12;20;14;45;5-12-14-20-25-34;;2;875344;11;7715,9;395;747,8;1011;33,6;21060;16,8;24692;3,8;360257;1,9;5 755 107;eur;
2008066;1;SA;20080816;20081016;42;21;41;29;24;31;30;21-24-29-31-41-42;;1;809479;6;14114,1;205;1406,9;498;62,6;11459;31,3;15395;5,8;238559;2,9;5 755 107;eur;
2008065;2;ME;20080813;20081013;41;43;25;23;4;18;32;4-18-23-25-41-43;;1;1570944;10;7638,1;244;1073;753;50,2;12442;25,1;21427;4,8;245204;2,4;4 031 879;eur;
2008065;1;ME;20080813;20081013;23;49;29;11;38;37;36;11-23-29-37-38-49;;0;0;6;12704,7;202;1288,1;486;51,2;12724;25,6;14858;10,4;249250;5,2;4 031 879;eur;
2008064;2;SA;20080809;20081009;19;29;25;24;6;38;7;6-19-24-25-29-38;;0;0;9;11390,4;279;1254,8;1263;40,6;20620;20,3;36346;4,2;380482;2,1;5 011 348;eur;
2008064;1;SA;20080809;20081009;24;48;47;6;2;39;14;2-6-24-39-47-48;;2;492482;3;33064,9;261;1338,7;828;50,2;17127;25,1;24271;4,8;334968;2,4;5 011 348;eur;
2008063;2;ME;20080806;20081006;16;40;46;39;43;37;1;16-37-39-40-43-46;;0;0;3;24081,9;259;983,9;416;57,2;11070;28,6;12616;5,8;206863;2,9;7 563 609;eur;
2008063;1;ME;20080806;20081006;13;26;35;30;47;43;36;13-26-30-35-43-47;;4;178854;2;35722,7;304;843,9;454;46,2;13808;23,1;13224;5,2;237369;2,6;7 563 609;eur;
2008062;2;SA;20080802;20081002;11;9;27;18;46;26;1;9-11-18-26-27-46;;0;0;6;14002,5;353;826,7;1236;33,2;20768;16,6;32909;3,6;361558;1,8;4 485 550;eur;
2008062;1;SA;20080802;20081002;34;32;15;16;17;29;24;15-16-17-29-32-34;;0;0;2;40488,7;252;1142,8;549;55,4;12828;27,7;18562;11;252568;5,5;4 485 550;eur;
2008061;2;ME;20080730;20080929;44;7;48;32;40;18;25;7-18-32-40-44-48;;2;771936;10;7480,7;297;870,7;793;41,8;14801;20,9;19322;4,6;260144;2,3;0 667 604;eur;
2008061;1;ME;20080730;20080929;32;33;7;35;36;30;5;7-30-32-33-35-36;;4;180548;11;6804,1;740;351,7;534;37,2;17400;18,6;16884;5,2;229544;2,6;0 667 604;eur;
2008060;2;SA;20080726;20080925;45;20;48;44;31;49;2;20-31-44-45-48-49;;0;0;4;22653,2;273;1161;547;42,2;19024;21,1;19296;5,2;283542;2,6;9 493 469;eur;
2008060;1;SA;20080726;20080925;41;13;27;18;42;6;3;6-13-18-27-41-42;;1;883214;7;13219,1;366;875,7;1056;37,4;20623;18,7;30490;4,2;343919;2,1;9 493 469;eur;
2008059;2;ME;20080723;20080922;29;4;35;23;17;24;8;4-17-23-24-29-35;;0;0;5;15050,3;260;999,2;806;46,6;13294;23,3;23551;4,6;252502;2,3;3 994 382;eur;
2008059;1;ME;20080723;20080922;16;48;6;22;5;1;45;1-5-6-16-22-48;;3;242982;8;9439,1;396;664,2;663;33;19637;16,5;19587;3,6;335908;1,8;3 994 382;eur;
2008058;2;SA;20080719;20080918;3;47;10;25;40;26;30;3-10-25-26-40-47;;1;1767984;7;12267,7;291;1015,5;957;45;15655;22,5;28101;4,4;307264;2,2;5 591 722;eur;
2008058;1;SA;20080719;20080918;41;1;11;46;19;48;12;1-11-19-41-46-48;;0;0;13;6623,3;262;1123,7;752;47,8;15010;23,9;22885;9,6;296588;4,8;5 591 722;eur;
2008057;2;ME;20080716;20080915;23;29;34;47;21;41;24;21-23-29-34-41-47;;1;1555313;2;36439,3;155;1650,9;421;64,2;9968;32,1;13985;6;200709;3;8 029 161;eur;
2008057;1;ME;20080716;20080915;47;17;10;1;16;35;40;1-10-16-17-35-47;;1;722459;6;12577,7;252;1030,1;508;49;13116;24,5;15749;4,6;265938;2,3;8 029 161;eur;
2008056;2;SA;20080712;20080911;6;9;7;43;8;49;30;6-7-8-9-43-49;;5;800000;10;10653,4;555;668,9;1195;28,2;32175;14,1;36120;3,2;538129;1,6;7 839 355;eur;
2008056;1;SA;20080712;20080911;26;27;4;18;20;42;25;4-18-20-26-27-42;;1;1014290;3;34322,3;349;1048,7;858;46,2;19429;23,1;25674;4,6;377096;2,3;7 839 355;eur;
2008055;2;ME;20080709;20080908;45;34;39;21;13;30;28;13-21-30-34-39-45;;2;803309;8;9721,7;288;931,8;607;43,6;15130;21,8;17517;4,8;261880;2,4;0 179 345;eur;
2008055;1;ME;20080709;20080908;46;25;36;4;16;28;40;4-16-25-28-36-46;;1;743524;5;15478,7;335;806,4;756;39;16772;19,5;17277;4,6;273370;2,3;0 179 345;eur;
2008054;2;SA;20080705;20080904;35;36;44;39;13;25;43;13-25-35-36-39-44;;1;1785982;7;12393;284;1049,9;570;47,6;15628;23,8;17023;5;280654;2,5;7 986 843;eur;
2008054;1;SA;20080705;20080904;18;26;17;23;12;1;45;1-12-17-18-23-26;;6;140047;5;17186,9;489;618,5;951;32,2;22753;16,1;25183;3,6;383120;1,8;7 986 843;eur;
2008053;2;ME;20080702;20080901;34;26;3;17;4;14;43;3-4-14-17-26-34;;1;4000000;7;13450,3;388;842;900;36,8;21663;18,4;22492;4;381522;2;5 933 374;eur;
2008053;1;ME;20080702;20080901;43;33;38;14;27;39;34;14-27-33-38-39-43;;1;898486;8;11773,7;267;1206,4;685;50,8;15655;25,4;20830;5,2;292015;2,6;5 933 374;eur;
2008052;2;SA;20080628;20080828;44;7;16;29;26;28;25;7-16-26-28-29-44;;4;436050;2;40582,4;369;794,3;733;41,6;17121;20,8;23306;4,2;314755;2,1;1 904 773;eur;
2008052;1;SA;20080628;20080828;30;18;17;7;22;47;4;7-17-18-22-30-47;;2;405640;8;10536,1;314;926,7;1202;36,8;18611;18,4;31932;3,8;339568;1,9;1 904 773;eur;
2008051;2;ME;20080625;20080825;5;27;44;3;35;9;16;3-5-9-27-35-44;;1;1534744;11;6786,7;388;669,1;934;33;18808;16,5;23511;3,6;328691;1,8;1 706 913;eur;
2008051;1;ME;20080625;20080825;12;36;2;1;30;31;25;1-2-12-30-31-36;;1;712992;5;14865,9;184;1378,6;605;50,6;12314;25,3;21068;4,4;261051;2,2;1 706 913;eur;
2008050;2;SA;20080621;20080821;30;19;2;10;22;37;44;2-10-19-22-30-37;;4;1000000;8;11797,7;394;831,4;988;37,4;21157;18,7;24036;4;377178;2;9 995 511;eur;
2008050;1;SA;20080621;20080821;29;14;41;17;28;12;25;12-14-17-28-29-41;;11;83420;13;7274,8;637;516,5;1030;37,2;21196;18,6;26850;4,4;336448;2,2;9 995 511;eur;
2008049;2;ME;20080618;20080818;46;1;39;11;32;21;33;1-11-21-32-39-46;;2;790717;4;18859,1;198;1317,6;473;48,4;13559;24,2;15138;5,2;237436;2,6;8 193 752;eur;
2008049;1;ME;20080618;20080818;49;29;21;11;48;7;1;7-11-21-29-48-49;;1;731994;19;4051,1;354;753,3;1477;32,4;18713;16,2;35127;3,6;317301;1,8;8 193 752;eur;
2008048;2;SA;20080614;20080814;1;27;11;24;20;37;45;1-11-20-24-27-37;;1;1854425;6;14982,8;405;775;730;38,4;20074;19,2;21062;4;359835;2;7 883 958;eur;
2008048;1;SA;20080614;20080814;24;39;1;16;35;15;30;1-15-16-24-35-39;;1;860130;2;43347,6;183;1668,9;527;60,2;12718;30,1;18996;5,4;271620;2,7;7 883 958;eur;
2008047;2;ME;20080611;20080811;22;47;45;26;35;25;31;22-25-26-35-45-47;;1;1597586;9;8626,8;214;1238,2;625;52,8;12250;26,4;18852;5,2;238019;2,6;5 579 883;eur;
2008047;1;ME;20080611;20080811;6;7;35;46;45;9;1;6-7-9-35-45-46;;1;741916;13;5984,1;216;1227,1;959;45,4;13783;22,7;30182;4;295356;2;5 579 883;eur;
2008046;2;SA;20080607;20080807;30;3;1;33;9;2;25;1-2-3-9-30-33;;0;0;11;8193,9;434;722,9;1102;31,4;24121;15,7;39633;3,4;409909;1,7;7 645 295;eur;
2008046;1;SA;20080607;20080807;20;15;40;13;2;23;46;2-13-15-20-23-40;;2;432999;9;10006,3;344;904,6;712;42,8;17919;21,4;19041;4,4;333414;2,2;7 645 295;eur;
2008045;2;ME;20080604;20080804;46;15;11;40;8;3;35;3-8-11-15-40-46;;3;1333334;8;12590,3;370;939,8;822;38,6;22340;19,3;23163;4;401956;2;9 833 784;eur;
2008045;1;ME;20080604;20080804;39;27;30;19;13;49;45;13-19-27-30-39-49;;4;243320;10;10079,8;484;725,6;1163;34,4;24605;17,2;29209;4;406335;2;9 833 784;eur;
2008044;2;SA;20080531;20080731;43;19;48;1;3;7;36;1-3-7-19-43-48;;2;916748;8;11097,1;493;627,6;813;29;26432;14,5;22368;3,4;437220;1,7;4 282 360;eur;
2008044;1;SA;20080531;20080731;23;2;46;42;32;38;29;2-23-32-38-42-46;;0;0;5;17563,5;267;1139;516;50,4;15147;25,2;15963;11;273355;5,5;4 282 360;eur;
2008043;2;ME;20080528;20080728;24;12;17;46;14;30;21;12-14-17-24-30-46;;1;1617491;8;9821,8;285;950,5;710;41;16162;20,5;22261;4,2;301871;2,1;6 205 105;eur;
2008043;1;ME;20080528;20080728;14;18;29;30;32;27;40;14-18-27-29-30-32;;3;252839;8;9821,8;311;874,3;739;44;14901;22;18465;4,8;267537;2,4;6 205 105;eur;
2008042;2;SA;20080524;20080724;33;48;32;5;16;18;6;5-16-18-32-33-48;;0;0;5;23860,5;401;1046,5;1011;45,6;22558;22,8;31532;4,6;426483;2,3;6 110 141;eur;
2008042;1;SA;20080524;20080724;32;8;39;7;1;40;35;1-7-8-32-39-40;;2;585765;6;20017,1;384;1091,1;805;51;20371;25,5;25784;4,6;443168;2,3;6 110 141;eur;
2008041;2;ME;20080521;20080721;14;17;33;1;7;37;4;1-7-14-17-33-37;;1;1616978;19;4156,2;648;422,3;1459;25,4;25318;12,7;30772;3,4;362649;1,7;2 044 248;eur;
2008041;1;ME;20080521;20080721;5;34;17;35;13;24;1;5-13-17-24-34-35;;1;750841;8;9818,6;303;896,1;860;39;16759;19,5;25670;4;304075;2;2 044 248;eur;
2008040;2;SA;20080517;20080717;20;35;28;13;1;45;38;1-13-20-28-35-45;;1;1824685;5;17544,5;312;979,2;589;48;15798;24;17710;4,8;301914;2,4;0 697 931;eur;
2008040;1;SA;20080517;20080717;10;37;25;4;36;5;12;4-5-10-25-36-37;;0;0;10;8875,3;272;1117,6;1099;43;16758;21,5;34322;8,4;329395;4,2;0 697 931;eur;
2008039;2;ME;20080514;20080714;12;13;5;17;31;38;43;5-12-13-17-31-38;;0;0;6;12856,1;357;753,4;894;33,2;19602;16,6;20494;3,6;357004;1,8;9 814 714;eur;
2008039;1;ME;20080514;20080714;39;14;18;16;10;42;30;10-14-16-18-39-42;;0;0;6;12856,1;270;984,5;783;43,2;14847;21,6;20375;9,6;267579;4,8;9 814 714;eur;
2008038;2;SA;20080510;20080710;47;20;40;21;7;34;28;7-20-21-34-40-47;;0;0;9;9536,3;244;1202,1;640;53,8;13342;26,9;19057;5;272466;2,5;8 013 841;eur;
2008038;1;SA;20080510;20080710;17;42;14;23;15;35;16;14-15-17-23-35-42;;0;0;12;7161,7;244;1202,1;521;51,2;14328;25,6;19826;10,2;279001;5,1;8 013 841;eur;
2008037;2;ME;20080507;20080707;21;35;14;24;12;3;41;3-12-14-21-24-35;;1;4000000;4;22375,1;382;830,4;756;37,6;20805;18,8;20308;4;379094;2;2 398 145;eur;
2008037;1;ME;20080507;20080707;45;43;37;25;47;46;9;25-37-43-45-46-47;;0;0;3;29566,7;280;1119;655;38,8;20326;19,4;21974;10,6;285683;5,3;2 398 145;eur;
2008036;2;SA;20080503;20080703;41;18;16;4;34;7;26;4-7-16-18-34-41;;1;1759384;7;12207,8;314;939,5;950;34,8;20596;17,4;26305;4;337405;2;1 636 034;eur;
2008036;1;SA;20080503;20080703;41;13;16;48;14;38;47;13-14-16-38-41-48;;0;0;3;27701,8;173;1674,2;479;57,4;12730;28,7;15434;11,2;259706;5,6;1 636 034;eur;
2008035;2;ME;20080430;20080630;49;31;27;40;38;20;22;20-27-31-38-40-49;;1;1683114;9;9090,2;223;1251,9;585;51,8;13322;25,9;18174;5;258825;2,5;6 794 264;eur;
2008035;1;ME;20080430;20080630;42;16;29;13;35;40;37;13-16-29-35-40-42;;3;263143;5;16236,6;274;1026;691;50;13611;25;18245;5,2;251993;2,6;6 794 264;eur;
2008034;2;SA;20080426;20080626;34;49;37;14;3;42;21;3-14-34-37-42-49;;0;0;11;8038,3;236;1277;714;54;13595;27;23591;5,2;269271;2,6;8 579 877;eur;
2008034;1;SA;20080426;20080626;15;28;27;11;37;3;2;3-11-15-27-28-37;;3;284182;6;14695,5;349;875,9;865;38;19567;19;26045;4;350324;2;8 579 877;eur;
2008033;2;ME;20080423;20080623;14;36;3;17;25;22;31;3-14-17-22-25-36;;3;1333334;11;9260,8;462;767,7;1109;36,6;23316;18,3;27545;4,2;380318;2,1;2 615 464;eur;
2008033;1;ME;20080423;20080623;23;33;3;45;39;11;37;3-11-23-33-39-45;;5;196811;9;11310,3;603;588,4;1066;35,6;24183;17,8;28172;4;396442;2;2 615 464;eur;
2008032;2;SA;20080419;20080619;10;2;8;21;15;31;29;2-8-10-15-21-31;;1;1852301;19;4760,1;611;513,5;1254;28;26925;14;27944;3,6;410724;1,8;5 922 405;eur;
2008032;1;SA;20080419;20080619;10;49;26;11;34;2;43;2-10-11-26-34-49;;0;0;11;8194,3;393;796,6;736;34,2;22699;17,1;19940;8,4;366036;4,2;5 922 405;eur;
2008031;2;ME;20080416;20080616;41;2;44;5;47;19;42;2-5-19-41-44-47;;1;1656775;3;26121,9;282;982,8;532;47,8;14382;23,9;16808;4,6;280835;2,3;1 887 530;eur;
2008031;1;ME;20080416;20080616;37;13;31;48;25;28;39;13-25-28-31-37-48;;2;387498;4;19791,5;436;643,2;802;25,8;27024;12,9;19909;4,4;299709;2,2;1 887 530;eur;
2008030;2;SA;20080412;20080612;45;17;18;8;24;20;25;8-17-18-20-24-45;;0;0;3;30171,7;305;1051,3;809;43,6;18048;21,8;24358;4,2;353835;2,1;9 509 803;eur;
2008030;1;SA;20080412;20080612;44;49;27;48;24;32;34;24-27-32-44-48-49;;4;225428;9;10372,4;338;952,4;765;44,8;17629;22,4;21398;4,6;321735;2,3;9 509 803;eur;
2008029;2;ME;20080409;20080609;32;14;9;5;48;3;13;3-5-9-14-32-48;;2;4500000;10;11876;551;751,4;1524;33,2;29827;16,6;43967;3,6;497150;1,8;6 590 867;eur;
2008029;1;ME;20080409;20080609;8;41;19;37;3;32;7;3-8-19-32-37-41;;2;569879;17;7001,6;621;666,7;1568;38,2;25341;19,1;41380;4,4;418581;2,2;6 590 867;eur;
2008028;2;SA;20080405;20080605;21;27;6;47;30;5;37;5-6-21-27-30-47;;0;0;4;22493,7;345;920,2;621;40,8;19426;20,4;19234;4,2;353701;2,1;7 291 121;eur;
2008028;1;SA;20080405;20080605;10;2;32;44;20;49;16;2-10-20-32-44-49;;0;0;6;15262,6;379;841;1054;41,2;18390;20,6;25655;9,4;322668;4,7;7 291 121;eur;
2008027;2;ME;20080402;20080602;14;43;27;46;42;20;10;14-20-27-42-43-46;;0;0;2;38576,8;172;1578,6;508;64,6;10386;32,3;17524;5,8;218101;2,9;6 982 806;eur;
2008027;1;ME;20080402;20080602;7;28;41;9;2;40;45;2-7-9-28-40-41;;0;0;6;13329,8;306;904;775;39;17270;19,5;20868;8,2;329984;4,1;6 982 806;eur;
2008026;2;SA;20080329;20080529;36;19;4;21;18;41;39;4-18-19-21-36-41;;1;1871268;3;29424,5;283;1102,3;728;49,8;15325;24,9;19844;4,8;301697;2,4;9 500 281;eur;
2008026;1;SA;20080329;20080529;7;3;10;11;38;17;35;3-7-10-11-17-38;;0;0;16;5703,3;744;426,1;1136;21;37422;10,5;27558;6;518400;3;9 500 281;eur;
2008025;2;ME;20080326;20080526;4;46;34;5;18;49;6;4-5-18-34-46-49;;0;0;4;19092,1;244;1089,7;642;47,6;13674;23,8;21134;4,6;267641;2,3;9 296 679;eur;
2008025;1;ME;20080326;20080526;49;6;21;10;17;7;3;6-7-10-17-21-49;;1;741281;30;2612,5;517;522,4;1961;25;24425;12,5;44003;3;387494;1,5;9 296 679;eur;
2008024;2;SA;20080322;20080522;11;35;38;28;44;15;19;11-15-28-35-38-44;;2;2000000;5;20417;329;1083,6;866;49;17770;24,5;26075;5;330454;2,5;6 954 326;eur;
2008024;1;SA;20080322;20080522;43;8;31;9;10;35;29;8-9-10-31-35-43;;0;0;13;8002,1;279;1271;895;48,4;17961;24,2;25026;9,4;373367;4,7;6 954 326;eur;
2008023;2;ME;20080319;20080519;20;34;37;25;1;16;18;1-16-20-25-34-37;;4;418732;13;6241,4;405;696,4;692;41;16782;20,5;19670;4,6;275877;2,3;8 165 967;eur;
2008023;1;ME;20080319;20080519;36;6;33;26;42;38;27;6-26-33-36-38-42;;0;0;5;16080;259;1072,6;552;47,2;14674;23,6;18053;10;271761;5;8 165 967;eur;
2008022;2;SA;20080315;20080515;44;5;6;22;30;33;17;5-6-22-30-33-44;;2;968086;12;7825,7;321;1005,4;1321;40;18875;20;32379;4,2;334694;2,1;3 336 745;eur;
2008022;1;SA;20080315;20080515;17;38;23;45;9;21;41;9-17-21-23-38-45;;2;450848;17;5535,2;393;828,1;886;40,4;19536;20,2;24074;4,4;348975;2,2;3 336 745;eur;
2008021;2;ME;20080312;20080512;19;1;31;22;39;9;45;1-9-19-22-31-39;;1;1699046;5;16383,8;388;741,3;914;32,4;21477;16,2;23632;3,8;355048;1,9;2 493 295;eur;
2008021;1;ME;20080312;20080512;32;44;8;24;14;2;20;2-8-14-24-32-44;;2;397339;3;26772,8;382;753;995;38;17966;19;25345;4,2;310891;2,1;2 493 295;eur;
2008020;2;SA;20080308;20080508;24;36;11;3;42;35;8;3-11-24-35-36-42;;2;2000000;27;4341,8;471;857,8;1503;41,8;22651;20,9;37308;4,6;398279;2,3;6 277 036;eur;
2008020;1;SA;20080308;20080508;18;11;12;43;10;34;13;10-11-12-18-34-43;;2;559471;12;9721,4;337;1183,7;1005;47,2;20648;23,6;34261;4,4;420410;2,2;6 277 036;eur;
2008019;2;ME;20080305;20080505;41;30;28;46;42;19;35;19-28-30-41-42-46;;1;1666855;4;19907,9;367;768,5;529;52,6;13076;26,3;16254;5,4;247340;2,7;5 217 026;eur;
2008019;1;ME;20080305;20080505;1;37;9;12;11;10;34;1-9-10-11-12-37;;2;389845;5;16086,4;661;426,8;750;23;30733;11,5;20856;3;442020;1,5;5 217 026;eur;
2008018;2;SA;20080301;20080501;2;32;40;33;34;47;43;2-32-33-34-40-47;;0;0;3;29444,6;204;1515,4;440;64,2;12155;32,1;16048;6;248791;3;7 739 115;eur;
2008018;1;SA;20080301;20080501;23;16;44;38;4;41;30;4-16-23-38-41-44;;1;868482;11;8284,1;386;818,8;649;47;16526;23,5;20490;5;297681;2,5;7 739 115;eur;
2008017;2;ME;20080227;20080428;3;40;12;37;46;42;5;3-12-37-40-42-46;;1;1660865;8;10086,1;222;1241,1;673;51;13190;25,5;19714;5;255502;2,5;6 627 146;eur;
2008017;1;ME;20080227;20080428;23;37;39;41;21;26;14;21-23-26-37-39-41;;1;771041;6;13435,5;376;747,7;649;47,8;14195;23,9;18189;5,2;244927;2,6;6 627 146;eur;
2008016;2;SA;20080223;20080424;22;41;17;30;3;1;40;1-3-17-22-30-41;;0;0;8;11590,1;310;1028,6;698;43,4;18208;21,7;19799;4,4;345896;2,2;5 054 096;eur;
2008016;1;SA;20080223;20080424;26;3;8;46;19;25;39;3-8-19-25-26-46;;4;223995;6;15392,3;431;749,9;730;34,6;23070;17,3;21625;3,8;393402;1,9;5 054 096;eur;
2008015;2;ME;20080220;20080421;13;30;14;10;19;38;41;10-13-14-19-30-38;;0;0;12;7874,8;315;1030;775;41;19564;20,5;22947;4;379676;2;6 371 021;eur;
2008015;1;ME;20080220;20080421;40;39;31;20;29;4;13;4-20-29-31-39-40;;0;0;6;15648,8;214;1498,1;803;53,4;14609;26,7;25020;10,6;286352;5,3;6 371 021;eur;
2008014;2;SA;20080216;20080417;49;35;27;8;39;38;32;8-27-35-38-39-49;;0;0;1;89997,2;224;1453,6;604;52;15731;26;20519;5;313614;2,5;3 986 881;eur;
2008014;1;SA;20080216;20080417;5;41;47;33;46;17;32;5-17-33-41-46-47;;0;0;7;13671,1;308;1067,5;707;44,4;18373;22,2;21867;9,6;333267;4,8;3 986 881;eur;
2008013;2;ME;20080213;20080414;7;32;31;42;23;46;34;7-23-31-32-42-46;;1;7000000;6;21922,4;403;1141;1100;48;23475;24;33754;4,8;451426;2,4;2 754 859;eur;
2008013;1;ME;20080213;20080414;13;15;6;29;33;1;47;1-6-13-15-29-33;;4;323877;18;7469,9;641;729,8;1428;34;33304;17;35696;3,8;569692;1,9;2 754 859;eur;
